Round 1: Cooperator chose COOPERATE, Defector chose DEFECT
Round 2: Cooperator chose COOPERATE, Defector chose DEFECT
Round 3: Cooperator chose COOPERATE, Defector chose DEFECT
Round 4: Cooperator chose COOPERATE, Defector chose DEFECT
Round 5: Cooperator chose COOPERATE, Defector chose DEFECT
Round 6: Cooperator chose COOPERATE, Defector chose DEFECT
Round 7: Cooperator chose COOPERATE, Defector chose DEFECT
Round 8: Cooperator chose COOPERATE, Defector chose DEFECT
Round 9: Cooperator chose COOPERATE, Defector chose DEFECT
Round 10: Cooperator chose COOPERATE, Defector chose DEFECT
Round 11: Cooperator chose COOPERATE, TitForTat chose COOPERATE
Round 12: Cooperator chose COOPERATE, TitForTat chose COOPERATE
Round 13: Cooperator chose COOPERATE, TitForTat chose COOPERATE
Round 14: Cooperator chose COOPERATE, TitForTat chose COOPERATE
Round 15: Cooperator chose COOPERATE, TitForTat chose COOPERATE
Round 16: Cooperator chose COOPERATE, TitForTat chose COOPERATE
Round 17: Cooperator chose COOPERATE, TitForTat chose COOPERATE
Round 18: Cooperator chose COOPERATE, TitForTat chose COOPERATE
Round 19: Cooperator chose COOPERATE, TitForTat chose COOPERATE
Round 20: Cooperator chose COOPERATE, TitForTat chose COOPERATE
Round 21: Defector chose DEFECT, TitForTat chose COOPERATE
Round 22: Defector chose DEFECT, TitForTat chose DEFECT
Round 23: Defector chose DEFECT, TitForTat chose DEFECT
Round 24: Defector chose DEFECT, TitForTat chose DEFECT
Round 25: Defector chose DEFECT, TitForTat chose DEFECT
Round 26: Defector chose DEFECT, TitForTat chose DEFECT
Round 27: Defector chose DEFECT, TitForTat chose DEFECT
Round 28: Defector chose DEFECT, TitForTat chose DEFECT
Round 29: Defector chose DEFECT, TitForTat chose DEFECT
Round 30: Defector chose DEFECT, TitForTat chose DEFECT
