Round 1 Scores: Cooperator = 0, Defector = 5
Round 2 Scores: Cooperator = 0, Defector = 5
Round 3 Scores: Cooperator = 0, Defector = 5
Round 4 Scores: Cooperator = 0, Defector = 5
Round 5 Scores: Cooperator = 0, Defector = 5
Round 6 Scores: Cooperator = 0, Defector = 5
Round 7 Scores: Cooperator = 0, Defector = 5
Round 8 Scores: Cooperator = 0, Defector = 5
Round 9 Scores: Cooperator = 0, Defector = 5
Round 10 Scores: Cooperator = 0, Defector = 5
Round 11 Scores: Cooperator = 3, TitForTat = 3
Round 12 Scores: Cooperator = 3, TitForTat = 3
Round 13 Scores: Cooperator = 3, TitForTat = 3
Round 14 Scores: Cooperator = 3, TitForTat = 3
Round 15 Scores: Cooperator = 3, TitForTat = 3
Round 16 Scores: Cooperator = 3, TitForTat = 3
Round 17 Scores: Cooperator = 3, TitForTat = 3
Round 18 Scores: Cooperator = 3, TitForTat = 3
Round 19 Scores: Cooperator = 3, TitForTat = 3
Round 20 Scores: Cooperator = 3, TitForTat = 3
Round 21 Scores: Defector = 5, TitForTat = 0
Round 22 Scores: Defector = 1, TitForTat = 1
Round 23 Scores: Defector = 1, TitForTat = 1
Round 24 Scores: Defector = 1, TitForTat = 1
Round 25 Scores: Defector = 1, TitForTat = 1
Round 26 Scores: Defector = 1, TitForTat = 1
Round 27 Scores: Defector = 1, TitForTat = 1
Round 28 Scores: Defector = 1, TitForTat = 1
Round 29 Scores: Defector = 1, TitForTat = 1
Round 30 Scores: Defector = 1, TitForTat = 1
